Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	RD139_Narrow_UPS1_0_1fmol_inj3.mzML	RD139_Narrow_UPS1_0_1fmol_inj1.mzML	RD139_Narrow_UPS1_0_1fmol_inj2.mzML	RD139_Narrow_UPS1_0_25fmol_inj3.mzML	RD139_Narrow_UPS1_0_25fmol_inj1.mzML	RD139_Narrow_UPS1_0_25fmol_inj2.mzML
A5A614	A5A614	YCIZ_ECOLI	yciZ	UPF0509 protein YciZ	436695	511764	449898	506290	506076	414986
P00350	P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	1.70956e+07	1.37747e+07	1.63613e+07	1.56713e+07	1.46633e+07	1.55116e+07
P00363	P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	1.52094e+07	1.39504e+07	1.47671e+07	1.62798e+07	1.53857e+07	1.54059e+07
P00370	P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	1.47781e+06	1.70076e+06	1.50428e+06	1.7075e+06	1.64823e+06	1.79448e+06
P00393	P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	5.31622e+06	5.55825e+06	5.66222e+06	5.58481e+06	5.86921e+06	5.53861e+06
P00448	P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	3.81477e+06	2.93757e+06	2.95244e+06	2.99892e+06	3.1535e+06	2.71778e+06
P00452	P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	4.41614e+06	4.32112e+06	4.2387e+06	4.21032e+06	4.18577e+06	4.17987e+06
P00490	P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	2.47246e+06	2.5378e+06	2.75558e+06	2.89201e+06	2.86058e+06	2.85486e+06
P00509	P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	2.21615e+07	1.01701e+07	1.5167e+07	1.41828e+07	1.22013e+07	1.22107e+07
P00550	P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	503887	542220	576817	592268	604009	527916
P00561	P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	921337	807872	990162	1.01504e+06	869812	881277
P00562	P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	1.25603e+06	1.24084e+06	1.39475e+06	1.51753e+06	1.35031e+06	1.37364e+06
P00579	P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	880741	1.03026e+06	1.18409e+06	1.01147e+06	1.13934e+06	1.2643e+06
P00582	P00582	DPO1_ECOLI	polA	DNA polymerase I	4.18954e+06	3.97316e+06	4.12043e+06	4.50441e+06	4.38881e+06	4.35926e+06
P00803	P00803	LEP_ECOLI	lepB	Signal peptidase I	1.24443e+06	1.48234e+06	1.4008e+06	1.352e+06	1.31717e+06	1.42869e+06
P00805	P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	8.93808e+06	8.34829e+06	8.61806e+06	8.9568e+06	8.21657e+06	8.87349e+06
P00811	P00811	AMPC_ECOLI	ampC	Beta-lactamase	865846	738163	718312	851325	691845	928464
P00861	P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	309358	250052	247940	192160	186687	277862
P00864	P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	9.14163e+06	9.11706e+06	8.90274e+06	9.51139e+06	9.29185e+06	9.54654e+06
P00888	P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	2.22712e+06	2.37507e+06	2.35011e+06	2.45827e+06	2.36241e+06	2.28709e+06
P00892	P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit		137388	130540	93663.8	96335.8	86420.2
P00894	P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	326964	464884	547161	492945	551372	520504
P00934	P00934	THRC_ECOLI	thrC	Threonine synthase	2.37622e+06	1.96564e+06	2.11106e+06	2.27133e+06	2.53581e+06	2.30921e+06
P00946	P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	1.06354e+07	1.03321e+07	1.07375e+07	9.20848e+06	9.36708e+06	1.00852e+07
P00954	P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	4.56913e+06	4.76237e+06	4.48492e+06	4.19291e+06	4.04724e+06	4.04491e+06
P00956	P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	1.41191e+07	1.26693e+07	1.3869e+07	1.44663e+07	1.47125e+07	1.43485e+07
P00957	P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	5.19948e+06	5.26341e+06	5.25017e+06	5.70448e+06	6.17247e+06	5.91399e+06
P00959	P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	4.81998e+06	4.95289e+06	4.9157e+06	4.47467e+06	4.70568e+06	4.50739e+06
P00960	P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	4.49585e+06	2.25802e+06	2.70515e+06	2.46589e+06	2.32568e+06	1.91299e+06
P00961	P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	6.08542e+06	5.92858e+06	5.78665e+06	5.80245e+06	5.96944e+06	5.62481e+06
P00962	P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	1.58321e+07	1.45552e+07	1.56202e+07	1.54911e+07	1.58789e+07	1.59573e+07
P00963	P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	5.06736e+06	5.56269e+06	5.57352e+06	5.57033e+06	5.7877e+06	5.43177e+06
P00968	P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	3.30088e+06	3.43168e+06	3.4098e+06	3.34278e+06	3.45249e+06	3.4421e+06
P02358	P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	2.58634e+07	1.66711e+07	1.68639e+07	1.71764e+07	1.56083e+07	1.67491e+07
P02359	P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	9.5995e+07	9.64971e+07	9.47513e+07	9.26768e+07	9.11543e+07	9.33611e+07
P02413	P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	255920	272151		352409	466526	451873
P02918	P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	432729	415140	472538	500315	521172	492608
P02919;P02919-2	P02919;P02919-2	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	557232	567986	692921	671742	647619	663401
P02925	P02925	RBSB_ECOLI	rbsB	Ribose import binding protein RbsB	5.70916e+06	5.98269e+06	5.91225e+06	5.79268e+06	5.23579e+06	5.40238e+06
P02930	P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	1.63137e+07	1.6115e+07	1.6378e+07	1.60522e+07	1.68219e+07	1.59871e+07
P02931	P02931	OMPF_ECOLI	ompF	Outer membrane protein F	1.63256e+07	1.06179e+07	1.41829e+07	1.47011e+07	1.33133e+07	1.33788e+07
P02942	P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	2.09538e+06	2.01451e+06	2.21245e+06	2.30513e+06	2.27816e+06	2.34782e+06
P02943	P02943	LAMB_ECOLI	lamB	Maltoporin	1.19859e+06	1.23272e+06	1.22534e+06	1.22583e+06	1.42597e+06	1.29745e+06
P03004	P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	2.237e+06	2.02413e+06	2.45032e+06	2.28404e+06	1.99725e+06	2.13793e+06
P03007	P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	283421		508756	253658	343488	413858
P03813	P03813	YGEA_ECOLI	ygeA	Uncharacterized protein YgeA	201725	114419	177009	170292	165637	127824
P03817	P03817	MIOC_ECOLI	mioC	Protein MioC	1.24103e+06	1.30292e+06	1.32536e+06	1.26806e+06	1.25288e+06	1.21239e+06
P03835	P03835	INSG_ECOLI	insG	Transposase InsG for insertion sequence element IS4	201680	351194	337473	233230	370810	386221
